Text Review,Predicted Title Review,Human Score
"com dias de uso apresentou varios vazamentos na mangueira articulada , tornando o uso impossível pois molha toda a cozinha . estou aguardando resposta da parceira das americanas para devolução . rápida entrega . ",produto falsificado,0
"o fone é estéreo mas o ps é mono , portanto só funciona canal de cada vez . ",bom,0.5
cores vibrantes e muito fofinhas . adorei as almofadas . ficaram lindas na minha sala .,gostei muito,1
"atendeu a minha , ótimo produto entrega super rápido , recomendo ",gostei muito do produto,1
"excelente produto pra quem usa o necessário , é rápido , boa camera , eu super recomendo . ",excelente,1
"não tem informações detalhadas na descrição do produto . tamanho , material , fechamento por zíper , entre outras informações importantes . mais fotos também são importantes para auxiliar os clientes a decidirem pela compra . ",não gostei do produto,1
recebi o produto com defeito e nao consegui devolver quando recebi as orientações de devolucao foi em uma sexta-feira à tarde com prazo máximo na próxima segunda-feira . em resumo ainda estou com o produto defeituoso e não consigo resolver o problema .,produto com defeito,0
"prazo de entrega esgotado , atraso em uns dias o produto em si muito bom . ",gostei,0
"entrega super rápida , antes do prazo . produto muito bom . cumpre com o prometido . recomendo ",produto excelente,1
"com um ano de uso vários defeitos , assistência técnica é péssima ",produto ruim,1
"por que no título do produto tem dizendo que é o lado esquerdo , mas na posição da foto é o direito ? ",falta de montar,0
funcional . atende todas minhas necessidades . recomendo .,excelente,1
"nao tenho como aviliar o produto porque nao testei ainda , chegou tudo inteiro e esta bom por enquanto ",muito bom,0
a caixa do envio veio muito amassada e também achei grande demais para o tamanho do produto . a não atentou a essa falha . chegou quase aberto a caixa da embalagem .,produto de qualidade,0
tenho ventiladores dessa marca todos são maravilhosos,gostei muito do produto,1
"na chamada do produto mostrava uma tela fina , que não condiz com a realidade , mas não altera os fatores . lg é sempre lg . ",gostei,1
"celular várias vezes e a tela ainda continua sem funcionar , um celular que custa . reais . é um absurdo . exijo a devolução do celular para a assistência para que resolvam o problema e me mandem de volta em ótimo estado , se não , irei tomar medidas contra a americas exijo meus direitos estou no aguardo , desde já agradeço . ",produto com defeito,1
"gostei muito do produto , um dos melhores investimentos que fiz , cumpre o que promete como meu cabelo é liso e cumprido seca super rápido . entrega super rápido . ",excelente,1
"comprei este produto conforme e na foto destacado a e e quando recebi o produto hoje a embalagem estava destacando a e , vendido e entregue pela empório charme , isso é falta de respeito ao consumidor , deveriam estar atentos , agora vou ter o trabalho de devolução . ",produto errado,1
"super recomendo , as perguntas são otimas vale muito a pena adquirir ",excelente,1
"melhor pc ever . oque se ta esperando vai la e compra trem e muiiiito bommmmm , ou migo anda ",não é original,0
"livro de auto ajuda , muito bem explicado , linguagem simples ",excelente,1
aproveitei que estava com frete grátis e comprei logo aparelhos . aproveitem também .,excelente,0
muito bom relembrar momentos em um produto de qualidade .,excelente,1
"poucas opções de configurações de áudio , botões com pouca sensibilidade o que prejudica a usabilidade . microfone para chamadas via bluetooth muito ruim com bastante ruído . ",produto frágil,0.5
"ótimo produto , dissolve fácil e realmente não interfere no sabor quando misturado . ",muito bom,1
fui enganado pela imagem o tamanho da imagem não condiz com as de mais mochilas que estavam no site . terceira compra que faço no site da américa e segunda decepção com a marca americanas . ?,propaganda enganosa,1
"maravilhosa smart tv , porém , somente após decorrido o prazo da entrega e aberto reclamação no sac houve a entrega . ",produto bom,1
o produto chegou antes da data de entrega . exatamente igual a foto da ilustração . site seguro . super recomendo,produto excelente,1
ótima qualidade e custo benefício recomendo sem dúvida,muito bom,1
super prático para dar aquela no cabelo .,excelente,1
"gostei muito do produto , porém não serviu pro meu carro que é um sandero , e está escrito na caixa universal . estou tentando entrar em contato com o vendedor faz uma semana e ninguém me dá retorno . quero fazer devolução e não consigo falar com ninguém . ",produto com defeito,0
"produto entrega bem fora do prazo , a empresa não retornou meus inumeros pedidos de satisfação . não recomendo esta empresa ",entrega rápida,0
"o som do cd , do rádio , do mp , são ótimos , mas achei o som do vinil fraco , outra observação é que o toca discos não tem tampa , sofro com a poeira . o lado positivo é que ele é multifuncional pude ouvir minhas fitas e bonito . ",o produto é bom,1
"o porta guardanapo é bonito , prático , útil e ótimo para decoração . ",muito bom,1
produto de qualidade que compre com o que promete fazer,produto bom,1
"produto muito bom , só faltou luzes de funções ativas . ",bom,0.5
"to sempre pesquisando composições e opiniões de usuários e de nutricionistas antes de comprar complementos . depois de experimentar outra marca , optei por esse bcaa pela alta concentração que o produto tem . até agora tem se mostrado uma ótima escolha . em dias de uso aumentei o ritmo dos treinos dores musculares quando a carga ","muito bom , mas .",1
"ótimo protetor , porém não me serviu por não ter fio terra em minha casa . como essa informação não é passada ao cliente , fiquei no prejuizo . nem sequer consegui devolver ao vendedor , infelizmente , muito decepcionada ",produto errado,1
frete um tanto abusivo . porém fui eu que na empolgação no prestei atenção no valor do frete .,frete,1
um otimo produto lustre muito bonito,ótimo produto,1
"meu esposo precisa de um telefone que tenha muitos recursos pois usa no trabalho , ele feliz ",gostei do produto,1
"recomendo , ferve a água em média minutos no nível maximo , litros ",produto de qualidade,1
por enquanto minha geladeira está funcionando muito bem e atendeu as minhas espectativas .,gostei muito do produto,0
"aparece ? instalador do windows , tanto em dos quanto em ambiente gráfico . detalhe: o dvd na parte superior , onde está com as informações não diz qual é a versão do windows . e na parte de baixo , há alguns sinais que parecem ser de uso . tudo horrível . solicitei de novo a devolução e o estorno do valor . ",informação,1
excelente produto e agilidade no envio super recomendo,excelente,1
a antena tem uma boa captação e não ocupa muito espaço . em ambientes muitos fechados a recepção de sinal é fraca e tem oscilações no sinal . recomendo pelo custo-benefício,custo benefício,1
"achei o produto muito bom , fácil de montar a bateria demora para acabar a entrega foi antes do combinado . ",produto de qualidade,1
"perfeito para quem gosta de jogar sem limitações , principalmente pela opção de poder jogar online , com amigos e parentes , podendo ainda fazer novos amigos . ",produto de excelente qualidade,1
"o produto esta perfeito , chegou antes do prazo , mas com um pequeno problema . a editora a qual eu fiz o pedido era cia das letras e veio com a editora seguinte . foi uma exigência da escola a editora . o que faço ? ",produto bom,1
muito bom e preço especial . custo benefício super em conta .,ótimo custo benefício,1
"recomendo este produto a qualquer pessoa , muita qualidade , ",gostei muito do produto,1
"a cuba e excelente moderna , prática tudo qu esperava em uma cuba . mas não comprei pela americanas . com . tive muita dor de cabeça e comprei na leroy ",excelente,0.5
produto entregue dentro do prazo com nota fiscal em embalagem fechada .,produto de qualidade,0
"apesar de não apresentar as características do original , tem um cheiro semelhante e duradouro ",gostei muito do produto,0.5
"o produto realmente é bom , muito útil e eu recomendo comprei o produto pelo site e chegou no prazo . ",gostei muito do produto,1
"o rodo mágico é eficaz , prático e rápido para a limpeza , eu recomendo . ",excelente,1
produto de excelente qualidade . muito confortável . aprovada a compra desse kit de cuecas .,produto de qualidade,1
"ótimo custo benefício . gostei muito , super prática . ",ótimo,1
"gostaria de comprar outro , avisem assim que tiver no estoque ",não recebi o produto,0
"falaram de a dias e até agora não chegou não posso falar do produto , pois ainda nao pude vê-lo ainda ",não recebi o produto,1
"a entrega foi super rápida , porém a fita veio desfiada em alguns lugares . espero que com o tempo de uso isso não seja um problema . ",não gostei,0.5
"produto muito bom , recomendo , bem como , chegou bem embalado , parabéns . ",gostei muito do produto,1
"excellente headset muito bom para jogar , nao doi a orelha , e um audio ",muito bom,1
belo produto pra você usar no dia a dia eu recomendo . compre que naõ se,muito bom,1
"precisaria de mais fotos da caixa , como a entrada do usb etc . ",produto bom,0.5
gostei atendeu minhas expectativas . a entrega entao . chegou mais rápido do que eu esperava . parabéns,gostei muito do produto,1
"ele é pratico fácil de usar muito bom , bom pra quem gosta de fazer suco ótimo ",muito bom,1
"uma barraquinha bem bacana , a criançada se amarra . boa relação custo x benefício . ",custo benefício,0.5
"não recomendo para ninguém . fixação muito fraca , parece que a pessoa nem passou nada . ",não gostei,1
"câmera excelente canon é a melhor , sem comparações ótima para quem está começando ",excelente,1
"gostei do produto , serve até como uma piscina pequena . ",gostei do produto,1
"ótima qualidade de construção . não é pesado pra um computador de . som excelente . os são que a porta vga nao entra até o fim mas funciona , a interrogação no teclado fica num lugar estranho tem que usar alt gr e tem hora que parece que o windows é meio pesado ",muito bom,1
"que me levou a comprar , mais no quesito qualidade , ruim , péssimo . em menos de dias de uso está vazando por todos os lados , perdi até a vontade de solicitar a troca e ou reparo , e sem falar que levou mais de um mês para ser entregue . fica a minha indignação a este produto . obrigado . , ",produto não funciona,1
como voces mandam email para eu avaliar um produto que ainda nao chegou ? com certeza é o pior site que já comprei com relação ao tempo de entrega eu nunca mais compro,nao recebi o produto,1
"ótimo aparelho , recomendo , bom custo benefício . entrega super rápida . ",ótimo custo benefício,1
"otimo custo beneficio , processamento de dados a plataforma excelente , apesar ue nao fiquei muito satisfeito com a durabilidade da baterias . mas em relação ao valor e um otimo smartphone . ",excelente,1
"o produto chegou dentro do prazo , devidamente embalado , está funcionando devidamente . estou satisfeito . ",gostei do produto,1
gostei tanto que vou comprar mais esta recomendadissimo .,gostei muito,1
"a mesa é leve e pequena , como o nome diz . tem uma textura excelente e a caneta é confortável na mão . as configurações estão em uma interface bastante intuitiva e no geral nos permitem um excelente ajuste para o uso . excelente para iniciantes que querem experimentar com arte digital . ",excelente,1
demais da conta bicho top demais da conta bicho top demais da conta bicho top demais da conta bicho top demais da conta bicho top demais da conta bicho top demais da conta bicho top demais da conta bicho top demais da conta bicho top demais da conta bicho top demais da conta bicho top demais da conta bicho top demais da conta bicho,top,1
smart tv led curva samsung mu uhd k é mara . nota .,excelente produto,0
"entrega super rápido , mais chegou com colchonete todo sujo . ",produto de qualidade,0
"comprei esse patins para minha filha justamente porque é regulável , porém qdo precisei não consegui , ele é todo rebitado por dentro , não recomendo esse produto ",produto de qualidade,0
"qual a metragem do produto ? tenho interesse no produto , mas não encontrei no site as medidas altura , largura , profundidade , etc . ",falta informação,1
a americanas e o fornecedor eletrônicos não cumpre os prazos dar resposta nem muito menos atendimento procure outro vendedor ou outro site esse é furada,pessimo,1
segundo minha filha as bicicletas sao de otimas qualidade e ate agora nao tem nada a reclamar,gostei muito do produto,1
muito bom o livro e foi me entregue em prazo recorde parabéns á americanas . com,excelente,1
"entrega rápida , recomendo para quem precisa com urgência . ",ótimo produto,1
ótimo custo-benefício recomendo comprar . ok,ótimo,1
nora para atendimento e atenção ao cliente . nunca mais comprarei nesta empresa,produto chegou com defeito,0
gente eu sei que este anuncio esta totalmente equivocado . entao peço que as lojas americanas observem mais os seus parceiros para que isso nao aconteça . uma chave combinada com esse preço é no minimo uma doidera sem fim .,excelente,0
fiz meu pedido no dia de março e o produto até agora não foi entregue . pedi a devolução do valor pago .,não recebi o produto,1
gosto muito de comprar nas americanas produtos de ótima qualidade entrega rápida .,excelente produto,1
"veio quebrado e isso faz com que o varal fique bambo , sem estabilidade . não fiz a devolução para troca , porque acho isso muito chato e cansativo , ter que embalar , ir até o correio postar , pagar o envio , ficar aguardando novo produto , enfim , estou usando quebrado mesmo . mas é muito chato , não gostei . ",defeito de fabricação,1
"a loja me atendeu bem , entregou antes do previsto , mas o aparelho trava muito , é mais lento que o antigo que tinha , não tem leitor de cd \ dvd , tela com reflexo , comprei para trabalhar e está me dando muito mais trabalho me acostumar com ele . ",bom produto,0
"comprei cinco lâmpadas e todas vieram com defeito . assim que instalei a primeira , ela demostrou uma ótima luminosidade , porém , alguns minutos depois começou a piscar . achei que fosse um problema isolado mas , infelizmente , todas as cinco apresentaram o mesmo defeito . assim que esquentam um pouco , começam a piscar . não recomendo o produto . ","produto bom , mas não recomendo",0
chegou antes do previsto e minha namorada adorou . só anda com ela agora .,bom,1
"tenho a impressao que a bateria veio usada porque descarrega mto rapido , desde o primeiro dia , nao dura nada e o toutch nao funciona bem tenho que apertar a tela as vezes pra poder funcionar e o telefone nao tem nem um mes de uso me arrependi de compra-lo ",ruim,1
"comprei pionner e recebi um produto diferente , com quem posso reclamar ? ",produto errado,1
leve . corta super bem . não enrosca ótimo custo beneficio . melhor do que eu esperava,ótimo custo benefício,1
"mesa muito bonita , cabem pessoas magras tranquilamente , único defeito são as quinas que poderiam ter um acabamento melhor . para sentar machuca um pouco , justamente por não ter acabamento mais arredondado . design bonito , porém o material frágil ui ",bom produto,1
"medição não confere , não vem descrito na caixa nome do fabricante , não tem manutenção , etc ",produto falsificado,0
bom produto . entrega rápida e o produto chegou e é de qualidade .,gostei do produto,1
gostei muito do produto funciona mesmo . super recomendo a todos .,gostei muito do produto,1
"ótima iluminação , fácil instalação e chegou antes do prazo ",muito bom,1
"os senhores tem que ter mais competência na entrega , até agora não recebi o produto ",não recebi o produto,1
"ela dá o efeito que é apresentado na descrição , os cílios ficam bem alongados e o seu olhar ganha um novo efeito ",não gostei,0
"gente vendi meu carro e finalmente vou comprar jogos de copos , nunca estive tão feliz e realizada . ",excelente livro,0.5
"é bom , veloz , qualidade da wd , preço justo , enfim tudo de bom . ",gostei,1
"o controle apresenta um defeito na qual a cada dez minutos tenho que reiniciar devido a um mau funcionamento onde não consigo controlar os personagens dos jogos , mas não é nada com me preocupo já que não utilizo ele com frequência , somente em jogos de luta com alguns amigos ",produto não funciona,0.5
"exatamente a um mês gerando nota fiscal , ainda não recebi o produto , então não posso avaliá-lo . ",não recebi o produto,1
"muito bom , apenas travou a primeira vez que liguei ",muito bom,1
"ele não o meu cabelo , com o cabelo molhado tive trabalho para pentear , pois faço progressiva e o cabelo embaraça muitooooo , mas com o cabelo já seco percebi que estava muito mais liso , leve , sedoso e com um cheiro muito bom . ",excelente,0
"extremamente minúsculo , não veio a nota nem embalagem do produto , veio em caixa de transporte de correio , ",produto errado,0.5
"não recebi o produto mesmo tendo sido escrito que o recebi , e está na análise da loja o que houve e eu tinha urgência pelo produto por estar sem e agora tudo ficou complicado pra mim , desculpe não tem como avalia lo , decepcionada com a empresa . ",não recebi o produto,1
"bem apresentável , tem todos os requisitos o qual eu preciso ",gostei muito do produto,1
"funciona muito bem , as placas são leves e de fácil manuseio , não gruda e o alimento fica pronto rapidamente . excelente produto e um preço muito bom por ser multi grill . ",ótimo custo benefício,1
gostei da qualidade de imagem e som . recomendo não tive problemas e a entrega foi rápida .,gostei muito,0.5
"entrega rapida . é bonita , veste bem , amei , super indico ",gostei muito,1
me mandaram o produto errado devolvi até agora nao recebi o produto certo nem obtive contato de ninguem reclame aqui e causas em breve,produto errado,1
produt aprovado . ja testado e aprovado . recomendarei a outras pessoas .,excelente,1
comprei para presentear uma amiga pelo aniversário . ela amou e adorou a bolsa . o relógio pode usar com a pulseira que vem junto ou separado . adorei .,gostei,1
"o vendedor vendeu um produto e mandou outro , tive que devolver o produto ",produto veio com defeito,0
"otimo aparelho , mas varios lugares que ele não tem sinal com o sansung você falar . ",muito bom,1
"pedi midia em mini tubos veio em tubo normal . o produto atende as necessidades , mas faltou atenção de quem embalou o produto . ",gostei do produto,1
chow recomendo áudio e som bem nítido bem confortável e fácil manuseio não causa incômodo vale apena ter um desses comprei e chegou antes do prazo determinado vcs não vão se arrepender .,muito bom,1
e ainda chegou antes do tempo previsto . meu filho adorou o celular .,gostei muito do produto,1
"tenho um w . e comprei este vertical de w . parece ser da mesma potência este aspirador da philco marca que até tenho um certo receio , superou minhas expectativas recomendo , com certeza é um ótimo custo/beneficio ",excelente custo benefício,1
"silencioso , eficiente , luminária difícil de instalar . ",bom custo benefício,0
"gostei muito do resultado dos produtos , só o cheiro que não é muito agradável ",gostei muito do produto,0.5
"cm de altura . pasmem , a caixa não tem essa altura , portanto não serviu para o que eu queria . agora vejam , se não serve para um rodapé de , de altura , para que serve então . não vou devolver porque não vale pena pelo valor . vou aproveitar só o , que por sinal , é muito frágil . ",propaganda enganosa,1
"produto bom , conforme o esperado . chegou dentro do prazo . só a montagem que não foi muito simples , meu ficou umas boas três horas tentando até conseguir . ",produto bom,1
"gente , super recomendo . é tão boa que consegui consertar o roupeiro e dele tenho acesso a . ",livro didatico,0
adorei minha escova e o bom que veio antes do prazo .,gostei muito,1
"ótimo acabamento , decora o ambiente com praticidade e qualidade tramontina ",ótimo custo benefício,0.5
"apesar da sustentação da churrasqueira ser frágil , a mesma atende todas as expectativas . produto veio conforme o anunciado . recomendo para quem tem pouco espaço em casa e deseja , ainda sim , fazer um churrasco para curtir com os amigos e família . ",produto bom,1
serviço oferecido pelo produto é tendencia para futuro,gostei do produto,1
"ainda não usei pos meu baby ainda não nasce . mais entrega antes do prazo , carinho conforme especificado no anuncio . ele é lindooo , ameiii . ",gostei,1
"so tenho coisas boas a dizer , muito rapido , nao esquenta , perfeito ",gostei muito,1
"olá , rodrigo da silva os correios nos informaram que houve um imprevisto na entrega dos seguintes produtos do pedido motivo informado pelos correios: objeto ainda não chegou à unidade . - porto alegre ",bom,0
"o anterior durou anos , satisfeita comprei outro igual pra substituir ",gostei do produto,1
"o produto é de ótima qualidade e faz jus ao preço , mas não são tão grandes . as tampas vieram um pouco amassada , mas com o tempo se . a entrega chegou antes do previsto . recomendo . ",produto bom,0
boa aparência . regular no processamento . memória ram no limite .,bom,1
produto de boa qualidade e chegou muito antes do prazo solicitado,gostei muito do produto,1
produto atende minhas necessidades . chegou em perfeito estado entrega antes do prazo,produto excelente,1
"produto veio com defeito . estou no aguardo de um produto novo conforme vendedor falou que enviaria . eu recomendo , pois meu namorado recebeu o relógio dele e ligou corretamente e está tudo funcionando . ",produto com defeito,1
"é totalmente diferente da foto , quase todos os produtos das americanas são assim , na foto é bem bonito mas quando chega você vê a diferença , qualidade baixa e bem simples , decepcionante ",não gostei,1
"entregaram rapido e amei o tenis , otima qualidade recomendo o vendedor ",gostei muito,1
eu comprei o computador dia / pagamento confirmado dia / demorou mês pra sair a nota fiscal e o prazo era pra hoje dia / mas o produto nem se quer saiu para a entrega .,não recebi o produto,1
"produto maravilhoso , indico . pratico , fácil de lavar . ",excelente,1
comprei para a minha filha e veio a rosa e a verde estragada com fita cortada . já reclamei no site da americanas duas vezes e ainda não tive resposta . extremamente chateada . se comptra paga e o produto chega estragado . nossa minha filha ficou triste . queria agradar e cause chateação .,produto com defeito,1
o produto foi entregue exatamente como eu queria . agora vou usar para descobrir quais são as reais qualidades e defeitos dele .,produto bom,0.5
não recebi a mercadoria até o momento . não recebi a mercadoria até o momento,não recebi o produto,1
"faz pipoca muito rápido . quase que do milho , pipoca sequinha sem óleo . adorei ",excelente,1
produto de boa qualidade e chegou antes do prazo estipulado .,gostei do produto,1
atende minhas necessidades . gostei do produto . entrega no prazo .,gostei do produto,1
"qualidade . na primeira semana , com capinha e película , bati levemente no encosto de uma cadeira de madeira , o produto não caiu , a distancia foi de uns cm o movimento que fiz coma mão . rachou a tela toda , por baixo da película . e óbvio a apple não se responsabilizou , fiquei no prejuízo conto a tela nova ",produto bom,1
custo/beneficio muito bom . entrega rápida . chegou em perfeito estado .,gostei muito do produto,1
"produto bom , atende o esperado para um aparelho portátil . leve , fácil utilização . vamos esperar para ver a durabilidade que se for boa a avaliação muda para ótimo . ",bom produto,1
"eu não recebi a boneca lol , por isso não tem como ",não recebi o produto,1
minha esposa gostou muito do produto . preço e aroma muito bons .,produto bom,1
"produto conforme descrito . se houver algo de meu interesse , poderei negociar novamente com o vendedor . recomendo ",produto bom,0.5
"produto muito bom . apenas o controle é meio fragil e falha as vezes , mas produto maravilhoso . chegou muito rapido . ",muito bom,1
"vocês cancelaram meu pedido , não responderam o email que eu envei questionando sobre o cancelamento do pedido , não me retornaram . então pra mim que sou pequeno e pra vocês sou só mais um não compro mais nada na americanas . com por no meu ver não deu atenção ao cliente . sem mais paulo sales . ",propaganda enganosa,0
otimo produto compraria de novo recomendo apesar so da câmera mesmo nao ser muito boa,gostei muito do produto,0
"bom , gostei de usar este , gostei de usar este , gostei de usar este , gostei de usar este produto ",gostei,1
"esse mouse é excelente , tem uma ótima pegada , e é realmente ergonômico . além do tamanho ser excelente , cm de comprimento . ",excelente,1
"a entrega foi rápida e o aparelho é ótimo , eu recomendo ",gostei muito do produto,1
"adorei o smartphone qualidade excelente para fotos e vídeos , não trava e super fácil de mexer amei ❤ isso sem contar a rapidez na entrega . recebi o produto bem antes da data prevista . parabéns americanas . com ",excelente,1
"o produto é de baixa qualidade , chegou com vários parafusos , e o material não tem um cheiro agradável . a entrega da americanas foi bem rápida como sempre . ",produto muito bom,0
recebi antes do prazo previsto estou muito satisfeita,gostei muito do produto,1
"muito lindas exatamente como está na foto , ótimo acabamento só acho que deveria ser um pouco mais grossas porém revestimento é muito bom . ",muito bom,1
a marca samsung se a cada dia como líder no mercado .,excelente,1
o relógio é ótimo para o dia dia e atividades físicas,muito bom,1
produto de excelente qualidade e entrega super rápida .,excelente produto,1
lojas americanas de parabéns entrega antes do prazo de entrega .,gostei muito do produto,1
muito bom o produto entrega antes do combinado recomendo a todos,gostei muito do produto,1
dois meses depois da compra ainda não recebi meu produto . muita lentidão para resolver problemas,não recebi o produto,1
cumpre o que promete . temos uma de estimação que solta muito pelo . isso facilita a higienização dela .,bom custo benefício,0
utilizo tudo que oferece produto dentro das minhas expectativas,produto excelente,1
"// , quase semanas depois , nem a nota fiscal foi emitida . é decepcionante . ainda mais que sempre tive o site da americanas . com como referência de site de compras em que as entregas sempre são rápidas , muito antes do prazo dado no momento da compra . não tenho como avaliar o produto . muito arrependido de ter comprado . ",entrega atrasada,1
"comprei , paguei e ate hoje não recebi nem o produto e nem o meu dinheiro de volta . até o momento a americanas não fez absolutamente nada , essa empresa é péssima e desonesta . quero meu dinheiro de volta . ",não recebi o produto,1
compra fácil e rápida pelo site . entrega antes do prazo entregador super atencioso ,recomendo ,1
